,Kanton,Year,Population,Divorces_p1k,Pre_school_p1k,Primary_school_p1k,Secondary_school_p1k,SP,CVP,SVP
367,Glarus,2017,40349.0,1.4126744157228184,18.786091352945547,58.687947656695336,28.724379786363976,11.5,8.9,28.8
368,Glarus,2018,40403.0,1.6335420637081406,19.206494567235108,58.43625473355939,29.304754597430886,12.8,9.4,25.3
369,Glarus,2019,40590.0,1.4289233801428924,20.374476472037447,57.8960335057896,30.22912047302291,12.8,9.4,25.3
370,Glarus,2020,40851.0,1.5177107047563096,21.00315781743409,58.13811167413282,31.382340701574016,12.8,9.4,25.3
397,Jura,1999,68818.0,2.6010636752012553,25.458455636606704,78.11909674794386,35.89177250138045,21.9,31.7,2.3
398,Jura,2000,68794.0,0.8867052359217373,25.46733726778498,78.14634997238132,35.90429397912609,21.9,31.7,2.3
399,Jura,2001,68930.0,1.2041201218627593,24.76425359059916,77.6584941244741,36.16712606992601,21.9,31.7,2.3
400,Jura,2002,69074.0,1.4621999594637634,24.52442308249124,77.46764339693662,37.61183658105799,23.9,31.3,5.2
401,Jura,2003,69064.0,2.244295146530754,24.614849994208267,77.31958762886599,37.77655507934669,23.9,31.3,5.2
402,Jura,2003,69064.0,2.244295146530754,24.571412023630256,75.82821730568747,38.58739719680297,23.9,31.3,5.2
404,Jura,2005,69110.0,2.4453769353205037,23.42642164665027,75.21342786861526,39.039212849081174,23.9,31.3,5.2
405,Jura,2006,69292.0,2.6698608786007045,22.989666916815793,74.69837787912024,39.09542227096923,19.8,30.1,5.8
406,Jura,2007,69555.0,2.300337862123499,22.227014592768313,73.82646826252606,37.26547336640069,19.8,30.1,5.8
407,Jura,2008,69822.0,2.4777290825241325,20.609549998567786,72.48431726389963,36.96542636991206,19.8,30.1,5.8
408,Jura,2009,70134.0,2.566515527418941,20.261214247012862,71.62004163458522,36.87227307725212,19.8,30.1,5.8
409,Jura,2010,70032.0,2.970070824765821,21.233150559744118,68.59721270276445,37.08304774960018,21.2,28.9,6.4
410,Jura,2011,70542.0,2.636727056221825,19.87468458506989,64.99673953105952,37.01341045051175,21.2,28.9,6.4
411,Jura,2012,70942.0,2.2271714922048997,18.83228552902371,65.65927095373686,36.565081334047534,21.2,28.9,6.4
412,Jura,2013,71738.0,2.3279154701831666,21.29972957149628,64.45677325824528,36.006021913072566,21.2,28.9,6.4
413,Jura,2014,72410.0,2.195829305344566,19.941996961745613,63.8447728214335,34.29084380610413,21.2,28.9,6.4
414,Jura,2014,72410.0,2.195829305344566,19.941996961745613,63.8447728214335,34.29084380610413,21.2,28.9,6.4
415,Jura,2015,72782.0,2.129647440301173,19.853810007969003,64.54892693248331,34.67890412464621,20.0,26.8,8.5
416,Jura,2016,73122.0,2.215475506687454,19.515330543475287,64.08468039714451,33.13640217718334,20.0,26.8,8.5
417,Jura,2017,73290.0,2.4423522990858233,20.084595442761632,63.84227043252831,32.78755628325829,20.0,26.8,8.5
418,Jura,2018,73419.0,2.329097372614718,19.953962870646563,64.52008335716911,32.29409280976314,20.0,26.8,8.5
419,Jura,2019,73584.0,2.3102848445314197,19.161774298760598,63.682322243966084,32.31680800173951,20.0,26.8,8.5
420,Jura,2020,73709.0,2.4284687080275136,20.160360335915563,62.97738403722748,32.08563404740263,20.2,24.4,6.7
447,Luzern,1999,345357.0,1.9168570493720989,17.697628830456598,79.12392104402112,38.36609653199443,9.6,39.8,17.0
448,Luzern,2000,347209.0,1.468855934033968,17.603230331011005,78.70187696747492,38.16145318813741,9.6,39.8,17.0
449,Luzern,2001,350017.0,1.5827802649585592,17.604859192553505,79.30471948505358,38.495273086735786,9.6,39.8,17.0
450,Luzern,2002,351889.0,1.5260494076257,17.14176913742686,79.16132644100838,38.995251343463416,9.6,39.8,17.0
451,Luzern,2003,353175.0,1.6790542931974233,16.164790826077724,78.60692291356976,39.75932611311673,11.6,35.9,19.9
452,Luzern,2003,353175.0,1.6790542931974233,15.842004671904862,78.09726056487577,40.14157287463722,11.6,35.9,19.9
454,Luzern,2005,356384.0,2.0539642632665887,14.93894226452366,75.95458830923947,40.2992277992278,11.6,35.9,19.9
455,Luzern,2006,359110.0,2.2054523683551,13.433209879981064,73.81860711202695,39.244242711147,11.6,35.9,19.9
456,Luzern,2007,363475.0,2.0661668615448106,13.703831075039549,70.55505880734576,38.74544329046014,10.7,37.3,18.2
457,Luzern,2008,368742.0,2.0285185848099756,13.106725027254829,67.68689219020345,38.21099847589914,10.7,37.3,18.2
458,Luzern,2009,372964.0,2.0833109898006246,13.261333533531387,64.738151671475,37.85083815059898,10.7,37.3,18.2
459,Luzern,2010,377610.0,2.195386774714653,13.503350017213526,62.034903736659516,37.35600222451736,10.7,37.3,18.2
460,Luzern,2011,381966.0,1.7043401768743813,14.100731478718002,60.50538529607347,36.346166936324174,11.0,31.3,22.1
461,Luzern,2012,386082.0,1.7457431322879595,14.318201832771276,59.596147968566264,35.01587745608445,11.0,31.3,22.1
462,Luzern,2013,390349.0,1.7189745586641696,15.045510555938405,58.65776523060133,33.080653466513304,11.0,31.3,22.1
463,Luzern,2014,394604.0,1.6852338040161783,15.476274949062859,58.38511520410335,31.677327143161246,11.0,31.3,22.1
464,Luzern,2014,394604.0,1.6852338040161783,15.476274949062859,58.38511520410335,31.677327143161246,11.0,31.3,22.1
465,Luzern,2015,398762.0,1.645091558373165,16.012057317397343,58.63898766682883,30.035459747919813,11.8,30.9,24.1
466,Luzern,2016,403397.0,1.5716527391130821,16.99814326829401,58.768409284154316,29.254059896330414,11.8,30.9,24.1
467,Luzern,2017,406506.0,1.5596325761489376,17.962834496907792,59.605516277742524,29.47311970795019,11.8,30.9,24.1
468,Luzern,2018,409557.0,1.7164887915479408,17.489629038204697,60.11617430540804,29.629575370461254,11.8,30.9,24.1
469,Luzern,2019,413120.0,1.6242254066615027,17.856797056545314,60.53689000774593,29.41034082106894,13.8,27.5,19.6
470,Luzern,2020,416347.0,1.7365322675556687,18.13631418023908,60.941954667621,29.571487245014374,13.8,27.5,19.6
499,Neuenburg,1999,165649.0,3.5134531449027766,15.206853044690883,62.65658108409951,43.622358118672615,33.0,0.6,0.0
500,Neuenburg,2000,165731.0,1.9067042375898293,15.199329033192342,62.62558000615455,43.600774749443374,33.0,0.6,0.0
501,Neuenburg,2001,166227.0,3.0019190624868406,15.641261648228026,60.62793649647771,45.895071197819846,31.6,0.0,0.0
502,Neuenburg,2002,166767.0,3.17209040157825,16.48407658589529,60.44361294500711,46.963727835842825,31.6,0.0,0.0
503,Neuenburg,2003,167047.0,2.5382078097780862,17.79738636431663,59.67182888648105,48.04037187138949,31.6,0.0,0.0
504,Neuenburg,2003,167047.0,2.5382078097780862,18.461870012631177,58.68408292277024,49.0281178351003,31.6,0.0,0.0
506,Neuenburg,2005,168444.0,3.61544489563297,20.255990121345967,57.64527083184916,48.17031179501792,32.1,0.8,15.6
507,Neuenburg,2006,168912.0,3.7830349531116796,20.02818035426731,57.30794733352278,47.669792554703044,32.1,0.8,15.6
508,Neuenburg,2007,169782.0,3.4868242805479968,19.77241403682369,56.18970208856062,46.824751740467185,32.1,0.8,15.6
509,Neuenburg,2008,170924.0,3.2821604923825793,19.18396480307037,55.621211766633124,45.42954763520629,32.1,0.8,15.6
510,Neuenburg,2009,171647.0,3.5479792830634964,19.83722407033039,54.80433680751776,45.36636235995969,28.2,3.2,12.7
511,Neuenburg,2010,172085.0,3.562193102245983,19.827410872533925,54.08373768777058,45.09399424702908,28.2,3.2,12.7
512,Neuenburg,2011,173183.0,3.083443525057309,19.85183303211054,64.46937632446603,33.057517192796055,28.2,3.2,12.7
513,Neuenburg,2012,174554.0,2.8186120054539,19.690181834847667,63.728129976969875,32.91818004743518,28.2,3.2,12.7
514,Neuenburg,2013,176402.0,2.8627793335676466,20.776408430743416,62.18750354304373,32.20485028514416,26.5,2.7,16.9
515,Neuenburg,2014,177327.0,2.6391920012180883,20.656752778764655,61.42324631894748,32.03685845923069,26.5,2.7,16.9
516,Neuenburg,2014,177327.0,2.6391920012180883,20.656752778764655,61.42324631894748,32.03685845923069,26.5,2.7,16.9
517,Neuenburg,2015,178107.0,2.4479666717198088,20.605591021127747,61.609032772434546,30.914001134149697,26.5,2.7,16.9
518,Neuenburg,2016,178567.0,2.5144623586664947,20.496508313406174,61.321520773715186,30.078345942979386,26.5,2.7,16.9
519,Neuenburg,2017,177964.0,2.0116428041626397,19.94785462228316,63.344271875210715,33.48991930952327,23.6,2.7,11.5
520,Neuenburg,2018,176850.0,2.3183488832343793,20.073508623126944,62.668928470455185,34.492507774950525,23.6,2.7,11.5
521,Neuenburg,2019,176496.0,2.2210135073882693,20.459387181579185,62.91360710724322,33.89878524159188,23.6,2.7,11.5
522,Neuenburg,2020,175894.0,2.131965843064573,20.296314825974736,62.86172353803995,33.520188295223264,23.6,2.7,11.5
541,Nidwalden,1999,37657.0,1.9119951137902649,14.313407865735455,80.83490453302176,36.142018748174316,0.0,47.5,0.0
542,Nidwalden,2000,38000.0,1.0789473684210527,14.18421052631579,80.10526315789474,35.81578947368421,0.0,47.5,0.0
543,Nidwalden,2001,38389.0,1.797389877308604,15.421084164734689,78.27763161322254,36.807418791841414,0.0,47.5,0.0
544,Nidwalden,2002,38736.0,1.9878149524989674,15.282940933498555,76.51796778190831,37.07145807517555,0.0,37.3,12.4
545,Nidwalden,2003,39070.0,2.0220117737394423,14.845149731251599,74.6352700281546,37.65037112874328,0.0,37.3,12.4
546,Nidwalden,2003,39070.0,2.0220117737394423,15.792167903762477,72.58766316867161,37.906321986178654,0.0,37.3,12.4
548,Nidwalden,2005,39803.0,1.8591563449991206,14.848127025601084,69.91935281260206,38.26344747883326,0.0,37.3,12.4
549,Nidwalden,2006,40012.0,2.3992802159352196,15.020493851844448,67.95461361591522,36.738978306508045,3.1,34.4,19.5
550,Nidwalden,2007,40287.0,2.432546479013081,16.779606324620847,65.43053590488248,35.42085536277211,3.1,34.4,19.5
551,Nidwalden,2008,40737.0,1.7428873014704076,16.667894052090237,63.43127869013428,33.875837690551585,3.1,34.4,19.5
552,Nidwalden,2009,40794.0,1.9365592979359711,17.306466637250576,61.52865617492768,33.31372260626563,3.1,34.4,19.5
553,Nidwalden,2010,41024.0,2.6326053042121687,16.91692667706708,59.526131045241804,31.981279251170044,2.1,31.1,26.6
554,Nidwalden,2011,41311.0,1.742877199777299,17.404565369998306,57.58756747597493,31.759095640386334,2.1,31.1,26.6
555,Nidwalden,2012,41584.0,1.8757214313197383,16.616968064640247,55.670450173143514,31.1177375913813,2.1,31.1,26.6
556,Nidwalden,2013,41888.0,1.7188693659281895,17.212566844919785,54.9083269671505,30.1279602750191,2.1,31.1,26.6
557,Nidwalden,2014,42080.0,1.9486692015209124,17.134030418250948,53.80228136882129,29.515209125475284,4.8,29.1,29.1
558,Nidwalden,2014,42080.0,1.9486692015209124,17.134030418250948,53.80228136882129,29.515209125475284,4.8,29.1,29.1
559,Nidwalden,2015,42420.0,1.7208863743517209,16.36020744931636,53.936822253653936,27.204148986327205,4.8,29.1,29.1
560,Nidwalden,2016,42556.0,1.433405395243914,16.942381802801016,53.12999342043425,26.71773662938246,4.8,29.1,29.1
561,Nidwalden,2017,42969.0,1.5127184714561661,17.105355023388952,53.2709627871256,26.5307547301543,4.8,29.1,29.1
562,Nidwalden,2018,43223.0,1.8277306063901164,17.282465354093887,53.21241005945909,27.161464960784766,4.5,26.8,25.9
563,Nidwalden,2019,43087.0,2.065588228467983,17.267389235732356,53.241116810174766,26.5741406920881,4.5,26.8,25.9
564,Nidwalden,2020,43520.0,1.4246323529411764,16.452205882352942,52.5735294117647,27.22886029411765,4.5,26.8,25.9
580,Obwalden,1999,32225.0,1.6446858029480218,14.491854150504267,85.67882079131108,43.0411171450737,10.2,63.6,0.0
581,Obwalden,2000,32414.0,1.018078608008885,14.407354846671192,85.17924353674339,42.790152403282534,10.2,63.6,0.0
582,Obwalden,2001,32678.0,0.7956423281718588,12.69967562274313,81.88995654568824,45.90244200991493,10.2,63.6,0.0
583,Obwalden,2002,32961.0,1.1832165286247383,13.015381814872123,79.73059069809776,46.266800157762205,15.3,50.4,13.4
584,Obwalden,2003,33142.0,1.3276205419105667,12.159797236135416,78.05805322551446,47.16070243195944,15.3,50.4,13.4
585,Obwalden,2003,33142.0,1.3276205419105667,14.362440407941584,75.79506366543963,47.04000965542212,15.3,50.4,13.4
587,Obwalden,2005,33269.0,1.382668550302083,12.263668880940216,74.24328954882924,46.28933842315669,15.3,50.4,13.4
588,Obwalden,2006,33755.0,1.5701377573692787,12.975855428825358,71.69308250629535,43.90460672492964,13.1,35.2,13.8
589,Obwalden,2007,33997.0,2.2354913668853134,12.70700355913757,71.12392269906168,42.062534929552605,13.1,35.2,13.8
590,Obwalden,2008,34429.0,2.0041244299863483,12.605652211798194,68.28545702750588,40.40198669726103,13.1,35.2,13.8
591,Obwalden,2009,35032.0,1.627083809088833,11.018497373829641,66.25371089289791,39.36401004795616,13.1,35.2,13.8
592,Obwalden,2010,35585.0,1.9109175214275678,12.533370802304342,64.69017844597442,36.672755374455534,10.9,33.8,21.1
593,Obwalden,2011,35885.0,1.6998745994147972,13.821931169012123,62.22655705726627,36.44977009892713,10.9,33.8,21.1
594,Obwalden,2012,36115.0,1.7998061747196457,13.484701647514884,61.24878859199778,35.27620102450505,10.9,33.8,21.1
595,Obwalden,2013,36507.0,1.2874243295806282,14.983427835757526,59.24891116772126,34.84263291971403,10.9,33.8,21.1
596,Obwalden,2014,36834.0,1.4117391540424609,14.361731009393495,60.51474181462779,32.90438182114351,12.8,32.1,24.5
597,Obwalden,2014,36834.0,1.4117391540424609,14.361731009393495,60.51474181462779,32.90438182114351,12.8,32.1,24.5
598,Obwalden,2015,37076.0,1.6722408026755853,16.075089006365303,59.76912288272737,32.71658215557234,12.8,32.1,24.5
599,Obwalden,2016,37378.0,1.5517149125153833,16.13248434908235,60.276098239606185,30.71325378564931,12.8,32.1,24.5
600,Obwalden,2017,37575.0,1.1443779108449768,16.73985362608117,60.359281437125745,31.696606786427147,12.8,32.1,24.5
601,Obwalden,2018,37841.0,1.1363336064057503,15.750112312042493,61.49414656060886,31.13025554292963,15.1,29.8,24.5
602,Obwalden,2019,37930.0,1.4236751911415766,18.21776957553388,61.92987081465858,30.767202741892962,15.1,29.8,24.5
603,Obwalden,2020,38108.0,1.5219901333053427,17.79153983415556,61.5356355620867,31.122074105174768,15.1,29.8,24.5
633,Schaffhausen,1999,73552.0,2.963889493147705,22.56906678268436,70.19523602349358,35.25396998042202,27.7,5.5,27.2
634,Schaffhausen,2000,73305.0,1.21410544983289,22.645112884523567,70.43175772457539,35.372757656367234,26.6,5.4,33.6
635,Schaffhausen,2001,73229.0,2.212238320883803,21.917546327274714,68.27896052110502,37.362247197148676,26.6,5.4,33.6
636,Schaffhausen,2002,73834.0,2.1805672183546876,21.507706476690956,66.44635262887016,38.586559037841646,26.6,5.4,33.6
637,Schaffhausen,2003,73968.0,2.2306943543153794,20.31959766385464,65.16331386545534,38.42202033311702,26.6,5.4,33.6
638,Schaffhausen,2003,73968.0,2.2306943543153794,19.359723123512868,63.67618429591175,37.80012978585334,26.6,5.4,33.6
640,Schaffhausen,2005,73764.0,2.3046472534027442,19.386150425681905,62.75418903530178,36.91502630009219,27.2,4.6,35.6
641,Schaffhausen,2006,73866.0,2.233774673056616,18.357566404028915,61.76048520293505,35.808084910513635,27.2,4.6,35.6
642,Schaffhausen,2007,74527.0,2.764098917170958,18.100822520697196,59.562306278261566,35.289224039609806,27.2,4.6,35.6
643,Schaffhausen,2008,75303.0,3.0543271848399134,18.511878676812344,57.75334316029906,33.87647238489835,23.0,5.1,32.6
644,Schaffhausen,2009,75657.0,2.696379713707919,17.02420132968529,56.30675284507712,33.242132254781446,23.0,5.1,32.6
645,Schaffhausen,2010,76356.0,2.2918958562522915,17.064801718267066,54.38996280580439,32.8985279480329,23.0,5.1,32.6
646,Schaffhausen,2011,77139.0,2.242704727828984,17.215675598594743,52.943387910136245,31.7349200793373,23.0,5.1,32.6
647,Schaffhausen,2012,77955.0,2.0652940799179014,17.81797190686935,51.491244949009044,30.004489769738953,22.6,4.9,33.6
648,Schaffhausen,2013,78783.0,2.0055088026604726,18.290748004011018,51.597425840600124,28.254826548874757,22.6,4.9,33.6
649,Schaffhausen,2014,79417.0,2.1280078572597807,18.58544140423335,51.70177669768437,27.210798695493406,22.6,4.9,33.6
650,Schaffhausen,2014,79417.0,2.1280078572597807,18.58544140423335,51.70177669768437,27.210798695493406,22.6,4.9,33.6
651,Schaffhausen,2015,79836.0,1.8538002905957212,19.489954406533393,51.71852297209279,27.03041234530788,22.6,4.9,33.6
652,Schaffhausen,2016,80769.0,1.9561960653220913,19.128626081788806,52.965865616758904,26.804838490014735,22.8,3.7,35.1
653,Schaffhausen,2017,81351.0,1.770107312755836,19.12699290727834,59.10191638701429,27.52271023097442,22.8,3.7,35.1
654,Schaffhausen,2018,81991.0,1.609932797502165,19.67289092705297,59.05526216292032,27.344464636362527,22.8,3.7,35.1
655,Schaffhausen,2019,82348.0,1.9794044785544276,19.30830135522417,59.85573420119493,28.18526254432409,22.8,3.7,35.1
656,Schaffhausen,2020,83107.0,1.8169347949029564,18.28967475663903,60.28373061234312,28.613714849531327,19.7,3.2,33.4
735,Solothurn,1999,243908.0,3.5915181133870147,21.0530199911442,69.56311396100169,35.64458730340948,25.1,24.4,6.4
736,Solothurn,2000,244015.0,1.1925496383419052,21.04378829170338,69.53261070016188,35.62895723623548,25.1,24.4,6.4
737,Solothurn,2001,245264.0,2.238404331658947,20.39435057733707,66.80556461608715,35.89601409093875,25.2,22.0,15.5
738,Solothurn,2002,246280.0,2.1032970602566183,20.2208867955173,65.28341724866006,36.27172324183856,25.2,22.0,15.5
739,Solothurn,2003,246807.0,2.3459626347712987,20.181761457333057,63.507112845259655,36.696690126293014,25.2,22.0,15.5
740,Solothurn,2003,246807.0,2.3459626347712987,20.28710692970621,63.049265215330195,36.70074187523045,25.2,22.0,15.5
742,Solothurn,2005,247937.0,3.0007622904205506,19.83165078225517,61.57209291069909,36.4205423151849,24.9,21.5,17.6
743,Solothurn,2006,248613.0,2.7874648550156267,18.61929987571044,60.374960279631395,35.4567138484311,24.9,21.5,17.6
744,Solothurn,2007,250240.0,2.7653452685421995,18.346387468030688,59.43893861892583,34.53484654731458,24.9,21.5,17.6
745,Solothurn,2008,251830.0,2.68832148671723,18.051860382003735,57.19334471667395,33.47496326887186,24.9,21.5,17.6
746,Solothurn,2009,252748.0,2.623166157595708,17.891338408216882,56.12705145045658,33.464161932042984,20.7,20.8,19.4
747,Solothurn,2010,255284.0,2.9496560693188765,17.81936979990912,54.13578602654299,31.886056313752526,20.7,20.8,19.4
748,Solothurn,2011,256990.0,2.2296587415852755,17.506517763337094,55.07218179695708,30.872796606871862,20.7,20.8,19.4
749,Solothurn,2012,259283.0,2.047955322948284,18.408457168422146,54.928398699490515,30.29508297883008,20.7,20.8,19.4
750,Solothurn,2013,261437.0,2.1840825896869993,19.572593014760727,53.57313616664818,29.2613516831971,19.1,18.4,20.2
