Kanton,Year,Value
Aargau,1999,29.2
Aargau,2000,29.4
Aargau,2001,29.5
Aargau,2002,29.8
Aargau,2003,29.7
Aargau,2004,29.8
Aargau,2005,29.9
Aargau,2006,29.9
Aargau,2007,30.2
Aargau,2008,30.3
Aargau,2009,30.3
Aargau,2010,30.6
Aargau,2011,30.6
Aargau,2012,30.5
Aargau,2013,30.5
Aargau,2014,30.6
Aargau,2015,30.6
Aargau,2016,30.7
Aargau,2017,30.6
Aargau,2018,30.7
Aargau,2019,30.7
Aargau,2020,30.8
Aargau,2021,30.7
Appenzell A. Rh.,1999,28.5
Appenzell A. Rh.,2000,28.0
Appenzell A. Rh.,2001,29.1
Appenzell A. Rh.,2002,29.4
Appenzell A. Rh.,2003,29.9
Appenzell A. Rh.,2004,29.4
Appenzell A. Rh.,2005,29.4
Appenzell A. Rh.,2006,29.5
Appenzell A. Rh.,2007,29.9
Appenzell A. Rh.,2008,29.6
Appenzell A. Rh.,2009,30.1
Appenzell A. Rh.,2010,30.0
Appenzell A. Rh.,2011,31.2
Appenzell A. Rh.,2012,30.5
Appenzell A. Rh.,2013,30.9
Appenzell A. Rh.,2014,30.6
Appenzell A. Rh.,2015,30.6
Appenzell A. Rh.,2016,30.9
Appenzell A. Rh.,2017,31.0
Appenzell A. Rh.,2018,30.6
Appenzell A. Rh.,2019,31.3
Appenzell A. Rh.,2020,30.6
Appenzell A. Rh.,2021,31.1
Appenzell I. Rh.,1999,28.1
Appenzell I. Rh.,2000,27.9
Appenzell I. Rh.,2001,28.9
Appenzell I. Rh.,2002,29.0
Appenzell I. Rh.,2003,28.9
Appenzell I. Rh.,2004,28.5
Appenzell I. Rh.,2005,29.0
Appenzell I. Rh.,2006,28.9
Appenzell I. Rh.,2007,29.3
Appenzell I. Rh.,2008,30.2
Appenzell I. Rh.,2009,29.8
Appenzell I. Rh.,2010,31.2
Appenzell I. Rh.,2011,29.9
Appenzell I. Rh.,2012,30.8
Appenzell I. Rh.,2013,31.4
Appenzell I. Rh.,2014,29.9
Appenzell I. Rh.,2015,30.9
Appenzell I. Rh.,2016,30.4
Appenzell I. Rh.,2017,31.8
Appenzell I. Rh.,2018,31.3
Appenzell I. Rh.,2019,31.0
Appenzell I. Rh.,2020,31.4
Appenzell I. Rh.,2021,31.6
Basel-Landschaft,1999,29.3
Basel-Landschaft,2000,29.5
Basel-Landschaft,2001,29.4
Basel-Landschaft,2002,29.6
Basel-Landschaft,2003,29.8
Basel-Landschaft,2004,30.3
Basel-Landschaft,2005,30.0
Basel-Landschaft,2006,30.1
Basel-Landschaft,2007,30.4
Basel-Landschaft,2008,30.9
Basel-Landschaft,2009,30.7
Basel-Landschaft,2010,30.9
Basel-Landschaft,2011,31.0
Basel-Landschaft,2012,30.7
Basel-Landschaft,2013,30.9
Basel-Landschaft,2014,30.8
Basel-Landschaft,2015,31.0
Basel-Landschaft,2016,30.8
Basel-Landschaft,2017,31.2
Basel-Landschaft,2018,31.5
Basel-Landschaft,2019,31.2
Basel-Landschaft,2020,31.3
Basel-Landschaft,2021,30.8
Basel-Stadt,1999,30.3
Basel-Stadt,2000,30.3
Basel-Stadt,2001,29.5
Basel-Stadt,2002,29.8
Basel-Stadt,2003,29.8
Basel-Stadt,2004,29.9
Basel-Stadt,2005,30.1
Basel-Stadt,2006,30.0
Basel-Stadt,2007,30.1
Basel-Stadt,2008,30.9
Basel-Stadt,2009,31.3
Basel-Stadt,2010,31.0
Basel-Stadt,2011,30.5
Basel-Stadt,2012,30.6
Basel-Stadt,2013,30.4
Basel-Stadt,2014,30.7
Basel-Stadt,2015,31.1
Basel-Stadt,2016,30.7
Basel-Stadt,2017,31.5
Basel-Stadt,2018,31.1
Basel-Stadt,2019,31.3
Basel-Stadt,2020,32.0
Basel-Stadt,2021,31.3
Bern,1999,29.0
Bern,2000,29.1
Bern,2001,29.2
Bern,2002,29.4
Bern,2003,29.5
Bern,2004,29.7
Bern,2005,29.7
Bern,2006,29.8
Bern,2007,29.9
Bern,2008,30.2
Bern,2009,30.2
Bern,2010,30.3
Bern,2011,30.8
Bern,2012,30.6
Bern,2013,30.7
Bern,2014,30.7
Bern,2015,30.7
Bern,2016,30.9
Bern,2017,31.0
Bern,2018,31.0
Bern,2019,31.1
Bern,2020,31.1
Bern,2021,31.1
Freiburg,1999,28.4
Freiburg,2000,28.4
Freiburg,2001,28.6
Freiburg,2002,28.7
Freiburg,2003,29.0
Freiburg,2004,29.0
Freiburg,2005,29.4
Freiburg,2006,29.4
Freiburg,2007,29.7
Freiburg,2008,29.6
Freiburg,2009,29.8
Freiburg,2010,30.0
Freiburg,2011,30.3
Freiburg,2012,30.5
Freiburg,2013,30.3
Freiburg,2014,30.2
Freiburg,2015,30.6
Freiburg,2016,30.6
Freiburg,2017,30.7
Freiburg,2018,30.5
Freiburg,2019,31.0
Freiburg,2020,30.8
Freiburg,2021,31.4
Genf,1999,29.2
Genf,2000,29.1
Genf,2001,29.1
Genf,2002,29.1
Genf,2003,29.5
Genf,2004,29.6
Genf,2005,29.7
Genf,2006,29.7
Genf,2007,29.7
Genf,2008,29.8
Genf,2009,30.0
Genf,2010,30.3
Genf,2011,30.7
Genf,2012,30.6
Genf,2013,30.9
Genf,2014,31.0
Genf,2015,30.9
Genf,2016,31.2
Genf,2017,30.9
Genf,2018,31.1
Genf,2019,31.8
Genf,2020,31.7
Genf,2021,31.7
Glarus,1999,28.2
Glarus,2000,28.2
Glarus,2001,28.5
Glarus,2002,29.3
Glarus,2003,30.1
Glarus,2004,29.0
Glarus,2005,29.3
Glarus,2006,28.5
Glarus,2007,28.8
Glarus,2008,29.8
Glarus,2009,29.5
Glarus,2010,29.6
Glarus,2011,30.0
Glarus,2012,30.3
Glarus,2013,29.8
Glarus,2014,30.2
Glarus,2015,30.1
Glarus,2016,31.0
Glarus,2017,30.3
Glarus,2018,30.2
Glarus,2019,30.4
Glarus,2020,30.6
Glarus,2021,31.4
Graubünden,1999,28.6
Graubünden,2000,28.8
Graubünden,2001,29.5
Graubünden,2002,29.5
Graubünden,2003,29.6
Graubünden,2004,29.7
Graubünden,2005,30.2
Graubünden,2006,29.9
Graubünden,2007,30.2
Graubünden,2008,30.8
Graubünden,2009,30.8
Graubünden,2010,30.8
Graubünden,2011,31.4
Graubünden,2012,31.2
Graubünden,2013,31.5
Graubünden,2014,31.3
Graubünden,2015,31.6
Graubünden,2016,31.4
Graubünden,2017,31.6
Graubünden,2018,31.5
Graubünden,2019,31.9
Graubünden,2020,31.6
Graubünden,2021,31.7
Jura,1999,28.4
Jura,2000,27.9
Jura,2001,28.3
Jura,2002,28.4
Jura,2003,28.6
Jura,2004,29.0
Jura,2005,28.9
Jura,2006,28.9
Jura,2007,29.0
Jura,2008,29.4
Jura,2009,29.6
Jura,2010,29.4
Jura,2011,29.5
Jura,2012,30.2
Jura,2013,29.1
Jura,2014,29.9
Jura,2015,29.9
Jura,2016,30.0
Jura,2017,29.7
Jura,2018,30.5
Jura,2019,30.6
Jura,2020,30.8
Jura,2021,30.6
Luzern,1999,28.9
Luzern,2000,29.1
Luzern,2001,29.5
Luzern,2002,29.6
Luzern,2003,29.7
Luzern,2004,30.2
Luzern,2005,30.3
Luzern,2006,30.3
Luzern,2007,30.3
Luzern,2008,30.5
Luzern,2009,30.6
Luzern,2010,30.8
Luzern,2011,31.1
Luzern,2012,31.0
Luzern,2013,31.1
Luzern,2014,30.9
Luzern,2015,31.1
Luzern,2016,31.2
Luzern,2017,31.2
Luzern,2018,31.2
Luzern,2019,31.3
Luzern,2020,31.4
Luzern,2021,31.3
Neuenburg,1999,28.3
Neuenburg,2000,28.3
Neuenburg,2001,28.0
Neuenburg,2002,28.1
Neuenburg,2003,28.4
Neuenburg,2004,28.5
Neuenburg,2005,28.9
Neuenburg,2006,28.8
Neuenburg,2007,29.0
Neuenburg,2008,29.1
Neuenburg,2009,29.2
Neuenburg,2010,29.4
Neuenburg,2011,29.4
Neuenburg,2012,29.4
Neuenburg,2013,29.8
Neuenburg,2014,30.1
Neuenburg,2015,30.0
Neuenburg,2016,30.1
Neuenburg,2017,30.0
Neuenburg,2018,30.6
Neuenburg,2019,30.8
Neuenburg,2020,30.6
Neuenburg,2021,30.9
Nidwalden,1999,29.3
Nidwalden,2000,29.6
Nidwalden,2001,29.6
Nidwalden,2002,30.3
Nidwalden,2003,30.9
Nidwalden,2004,30.6
Nidwalden,2005,30.5
Nidwalden,2006,31.3
Nidwalden,2007,30.8
Nidwalden,2008,30.7
Nidwalden,2009,30.8
Nidwalden,2010,30.8
Nidwalden,2011,31.4
Nidwalden,2012,31.5
Nidwalden,2013,31.7
Nidwalden,2014,32.0
Nidwalden,2015,32.3
Nidwalden,2016,31.7
Nidwalden,2017,31.2
Nidwalden,2018,31.2
Nidwalden,2019,31.6
Nidwalden,2020,31.5
Nidwalden,2021,31.3
Obwalden,1999,29.2
Obwalden,2000,28.7
Obwalden,2001,29.9
Obwalden,2002,30.0
Obwalden,2003,29.8
Obwalden,2004,30.0
Obwalden,2005,30.0
Obwalden,2006,29.9
Obwalden,2007,30.9
Obwalden,2008,30.6
Obwalden,2009,30.0
Obwalden,2010,30.7
Obwalden,2011,31.0
Obwalden,2012,31.0
Obwalden,2013,31.6
Obwalden,2014,32.4
Obwalden,2015,31.6
Obwalden,2016,31.9
Obwalden,2017,31.4
Obwalden,2018,30.8
Obwalden,2019,31.6
Obwalden,2020,32.0
Obwalden,2021,32.0
Schaffhausen,1999,28.6
Schaffhausen,2000,28.4
Schaffhausen,2001,29.0
Schaffhausen,2002,28.8
Schaffhausen,2003,29.6
Schaffhausen,2004,29.2
Schaffhausen,2005,29.1
Schaffhausen,2006,29.8
Schaffhausen,2007,29.0
Schaffhausen,2008,29.4
Schaffhausen,2009,30.2
Schaffhausen,2010,29.8
Schaffhausen,2011,30.3
Schaffhausen,2012,30.2
Schaffhausen,2013,30.7
Schaffhausen,2014,30.8
Schaffhausen,2015,30.4
Schaffhausen,2016,30.6
Schaffhausen,2017,30.6
Schaffhausen,2018,31.4
Schaffhausen,2019,30.7
Schaffhausen,2020,31.1
Schaffhausen,2021,31.2
Schwyz,1999,28.9
Schwyz,2000,29.0
Schwyz,2001,29.4
Schwyz,2002,29.4
Schwyz,2003,29.6
Schwyz,2004,29.7
Schwyz,2005,30.1
Schwyz,2006,30.0
Schwyz,2007,30.5
Schwyz,2008,30.6
Schwyz,2009,30.5
Schwyz,2010,31.2
Schwyz,2011,31.2
Schwyz,2012,31.0
Schwyz,2013,31.3
Schwyz,2014,31.2
Schwyz,2015,30.9
Schwyz,2016,31.2
Schwyz,2017,31.0
Schwyz,2018,31.4
Schwyz,2019,31.5
Schwyz,2020,31.5
Schwyz,2021,31.4
Solothurn,1999,28.8
Solothurn,2000,29.1
Solothurn,2001,29.1
Solothurn,2002,29.8
Solothurn,2003,30.0
Solothurn,2004,29.7
Solothurn,2005,30.2
Solothurn,2006,30.2
Solothurn,2007,30.2
Solothurn,2008,30.4
Solothurn,2009,30.3
Solothurn,2010,30.9
Solothurn,2011,30.9
Solothurn,2012,30.5
Solothurn,2013,30.6
Solothurn,2014,30.6
Solothurn,2015,30.8
Solothurn,2016,30.9
Solothurn,2017,30.6
Solothurn,2018,31.0
Solothurn,2019,30.9
Solothurn,2020,31.2
Solothurn,2021,31.0
St. Gallen,1999,28.6
St. Gallen,2000,28.7
St. Gallen,2001,29.3
St. Gallen,2002,29.1
St. Gallen,2003,29.3
St. Gallen,2004,29.8
St. Gallen,2005,29.6
St. Gallen,2006,29.8
St. Gallen,2007,29.7
St. Gallen,2008,29.7
St. Gallen,2009,30.0
St. Gallen,2010,30.1
St. Gallen,2011,30.3
St. Gallen,2012,30.5
St. Gallen,2013,30.5
St. Gallen,2014,30.2
St. Gallen,2015,30.4
St. Gallen,2016,30.4
St. Gallen,2017,30.5
St. Gallen,2018,30.6
St. Gallen,2019,30.8
St. Gallen,2020,30.7
St. Gallen,2021,30.6
Tessin,1999,29.6
Tessin,2000,29.4
Tessin,2001,29.5
Tessin,2002,29.9
Tessin,2003,30.3
Tessin,2004,30.3
Tessin,2005,30.4
Tessin,2006,30.3
Tessin,2007,30.6
Tessin,2008,30.5
Tessin,2009,30.8
Tessin,2010,30.9
Tessin,2011,30.9
Tessin,2012,31.2
Tessin,2013,31.3
Tessin,2014,31.2
Tessin,2015,31.5
Tessin,2016,31.8
Tessin,2017,31.8
Tessin,2018,32.0
Tessin,2019,32.2
Tessin,2020,32.3
Tessin,2021,32.1
Thurgau,1999,28.4
Thurgau,2000,28.6
Thurgau,2001,28.9
Thurgau,2002,29.2
Thurgau,2003,29.2
Thurgau,2004,29.6
Thurgau,2005,29.8
Thurgau,2006,29.4
Thurgau,2007,29.8
Thurgau,2008,29.8
Thurgau,2009,29.9
Thurgau,2010,30.2
Thurgau,2011,30.3
Thurgau,2012,30.6
Thurgau,2013,30.2
Thurgau,2014,30.4
Thurgau,2015,30.4
Thurgau,2016,30.6
Thurgau,2017,30.6
Thurgau,2018,30.5
Thurgau,2019,30.8
Thurgau,2020,30.7
Thurgau,2021,30.9
Uri,1999,28.7
Uri,2000,28.6
Uri,2001,29.9
Uri,2002,29.6
Uri,2003,29.5
Uri,2004,29.6
Uri,2005,30.7
Uri,2006,30.2
Uri,2007,29.7
Uri,2008,30.1
Uri,2009,30.4
Uri,2010,30.9
Uri,2011,30.1
Uri,2012,31.0
Uri,2013,31.8
Uri,2014,30.1
Uri,2015,31.1
Uri,2016,31.7
Uri,2017,31.1
Uri,2018,31.0
Uri,2019,31.1
Uri,2020,30.5
Uri,2021,30.8
Waadt,1999,28.6
Waadt,2000,28.7
Waadt,2001,28.7
Waadt,2002,28.8
Waadt,2003,28.9
Waadt,2004,29.2
Waadt,2005,29.3
Waadt,2006,29.4
Waadt,2007,29.6
Waadt,2008,30.0
Waadt,2009,30.0
Waadt,2010,30.0
Waadt,2011,30.2
Waadt,2012,30.0
Waadt,2013,30.6
Waadt,2014,30.7
Waadt,2015,30.4
Waadt,2016,30.7
Waadt,2017,30.9
Waadt,2018,31.2
Waadt,2019,31.1
Waadt,2020,31.1
Waadt,2021,31.6
Wallis,1999,28.3
Wallis,2000,28.5
Wallis,2001,28.7
Wallis,2002,28.9
Wallis,2003,29.1
Wallis,2004,29.4
Wallis,2005,29.3
Wallis,2006,29.6
Wallis,2007,29.8
Wallis,2008,29.9
Wallis,2009,30.1
Wallis,2010,30.1
Wallis,2011,29.9
Wallis,2012,30.3
Wallis,2013,30.3
Wallis,2014,30.5
Wallis,2015,30.5
Wallis,2016,30.6
Wallis,2017,30.5
Wallis,2018,31.0
Wallis,2019,30.8
Wallis,2020,31.1
Wallis,2021,31.4
Zug,1999,29.8
Zug,2000,30.1
Zug,2001,30.4
Zug,2002,30.0
Zug,2003,30.4
Zug,2004,30.5
Zug,2005,30.9
Zug,2006,30.2
Zug,2007,31.2
Zug,2008,31.2
Zug,2009,30.6
Zug,2010,31.2
Zug,2011,31.3
Zug,2012,31.1
Zug,2013,31.1
Zug,2014,31.0
Zug,2015,31.1
Zug,2016,31.9
Zug,2017,31.1
Zug,2018,31.1
Zug,2019,31.5
Zug,2020,31.6
Zug,2021,31.7
Zürich,1999,29.4
Zürich,2000,29.4
Zürich,2001,29.3
Zürich,2002,29.4
Zürich,2003,29.5
Zürich,2004,29.8
Zürich,2005,30.0
Zürich,2006,30.2
Zürich,2007,30.2
Zürich,2008,30.7
Zürich,2009,30.6
Zürich,2010,30.7
Zürich,2011,30.7
Zürich,2012,30.6
Zürich,2013,30.7
Zürich,2014,30.8
Zürich,2015,30.7
Zürich,2016,30.9
Zürich,2017,31.0
Zürich,2018,31.1
Zürich,2019,31.4
Zürich,2020,31.5
Zürich,2021,31.4