Kanton;Jahr;CVP;SP;SVP
Neuenburg;1997;0.6;33.0;0.0
Genf;1997;11.2;20.6;0.0
Jura;1997;33.8;19.9;2.0
Zürich;1998;6.4;21.5;21.1
Bern;1998;0.9;25.9;31.7
Luzern;1998;48.6;9.5;0.0
Uri;1998;;;
Schwyz ;1998;37.9;14.0;15.2
Obwalden;1998;63.6;10.2;0.0
Nidwalden;1998;47.5;;
Glarus;1998;14.6;15.6;26.6
Zug;1998;33.6;6.1;12.6
Freiburg;1998;33.6;23.2;8.4
Solothurn;1998;24.4;25.1;6.4
Basel-Stadt;1998;9.5;27.0;0.0
Basel-Landschaft;1998;14.0;23.6;11.7
Schaffhausen;1998;5.5;27.7;27.2
Appenzell A. Rh. ;1998;;;
Appenzell I. Rh.;1998;;;
St. Gallen;1998;33.8;15.2;9.8
Graubünden;1998;;;
Aargau;1998;17.3;21.7;21.9
Thurgau ;1998;18.4;14.9;26.1
Tessin;1998;27.7;16.0;1.2
Waadt;1998;1.6;24.2;8.9
Wallis;1998;53.6;17.0;0.0
Neuenburg;1998;0.6;33.0;0.0
Genf;1998;11.2;20.6;0.0
Jura;1998;31.7;21.9;2.3
Zürich;1999;6.7;22.1;28.9
Bern;1999;0.9;25.9;31.7
Luzern;1999;39.8;9.6;17.0
Uri;1999;;;
Schwyz ;1999;37.9;14.0;15.2
Obwalden;1999;63.6;10.2;0.0
Nidwalden;1999;47.5;0.0;0.0
Glarus;1999;14.6;15.6;26.6
Zug;1999;33.6;6.1;12.6
Freiburg;1999;33.6;23.2;8.4
Solothurn;1999;24.4;25.1;6.4
Basel-Stadt;1999;9.5;27.0;
Basel-Landschaft;1999;13.0;24.8;15.9
Schaffhausen;1999;5.5;27.7;27.2
Appenzell A. Rh. ;1999;;;
Appenzell I. Rh.;1999;;;
St. Gallen;1999;33.8;15.2;9.8
Graubünden;1999;;;
Aargau;1999;17.3;21.7;21.9
Thurgau ;1999;18.4;14.9;26.1
Tessin;1999;25.5;16.4;2.8
Waadt;1999;1.6;24.2;8.9
Wallis;1999;53.6;17.0;0.0
Neuenburg;1999;0.6;33.0;0.0
Genf;1999;11.2;20.6;0.0
Jura;1999;31.7;21.9;2.3
Zürich;2000;6.7;22.1;28.9
Bern;2000;0.9;25.9;31.7
Luzern;2000;39.8;9.6;17.0
Uri;2000;;;
Schwyz ;2000;39.0;12.2;20.7
Obwalden;2000;63.6;10.2;0.0
Nidwalden;2000;47.5;0.0;0.0
Glarus;2000;14.6;15.6;26.6
Zug;2000;33.6;6.1;12.6
Freiburg;2000;33.6;23.2;8.4
Solothurn;2000;24.4;25.1;6.4
Basel-Stadt;2000;9.9;26.0;10.0
Basel-Landschaft;2000;13.0;24.8;15.9
Schaffhausen;2000;5.4;26.6;33.6
Appenzell A. Rh. ;2000;;;
Appenzell I. Rh.;2000;;;
St. Gallen;2000;31.7;16.1;22.6
Graubünden;2000;;;
Aargau;2000;17.3;21.7;21.9
Thurgau ;2000;19.3;15.7;29.7
Tessin;2000;25.5;16.4;2.8
Waadt;2000;1.6;24.2;8.9
Wallis;2000;53.6;17.0;0.0
Neuenburg;2000;0.6;33.0;0.0
Genf;2000;11.2;20.6;0.0
Jura;2000;31.7;21.9;2.3
Zürich;2001;6.7;22.1;28.9
Bern;2001;0.9;25.9;31.7
Luzern;2001;39.8;9.6;17.0
Uri;2001;;;
Schwyz ;2001;39.0;12.2;20.7
Obwalden;2001;63.6;10.2;0.0
Nidwalden;2001;47.5;0.0;0.0
Glarus;2001;14.6;15.6;26.6
Zug;2001;33.6;6.1;12.6
Freiburg;2001;33.5;19.6;11.8
Solothurn;2001;22.0;25.2;15.5
Basel-Stadt;2001;9.9;26.0;10.0
Basel-Landschaft;2001;13.0;24.8;15.9
Schaffhausen;2001;5.4;26.6;33.6
Appenzell A. Rh. ;2001;;;
Appenzell I. Rh.;2001;;;
St. Gallen;2001;31.7;16.1;22.6
Graubünden;2001;;;
Aargau;2001;15.0;18.6;33.5
Thurgau ;2001;19.3;15.7;29.7
Tessin;2001;25.5;16.4;2.8
Waadt;2001;1.6;24.2;8.9
Wallis;2001;54.1;13.5;4.6
Neuenburg;2001;0.0;31.6;0.0
Genf;2001;11.7;17.8;10.4
Jura;2001;31.7;21.9;2.3
Zürich;2002;6.7;22.1;28.9
Bern;2002;1.0;26.1;31.8
Luzern;2002;39.8;9.6;17.0
Uri;2002;;;
Schwyz ;2002;39.0;12.2;20.7
Obwalden;2002;50.4;15.3;13.4
Nidwalden;2002;37.3;0.0;12.4
Glarus;2002;14.0;18.7;26.3
Zug;2002;29.0;8.3;21.3
Freiburg;2002;33.5;19.6;11.8
Solothurn;2002;22.0;25.2;15.5
Basel-Stadt;2002;9.9;26.0;10.0
Basel-Landschaft;2002;13.0;24.8;15.9
Schaffhausen;2002;5.4;26.6;33.6
Appenzell A. Rh. ;2002;;;
Appenzell I. Rh.;2002;;;
St. Gallen;2002;31.7;16.1;22.6
Graubünden;2002;;;
Aargau;2002;15.0;18.6;33.5
Thurgau ;2002;19.3;15.7;29.7
Tessin;2002;25.5;16.4;2.8
Waadt;2002;2.2;23.8;11.9
Wallis;2002;54.1;13.5;4.6
Neuenburg;2002;0.0;31.6;0.0
Genf;2002;11.7;17.8;10.4
Jura;2002;31.3;23.9;5.2
Zürich;2003;6.4;26.5;30.3
Bern;2003;1.0;26.1;31.8
Luzern;2003;35.9;11.6;19.9
Uri;2003;;;
Schwyz ;2003;39.0;12.2;20.7
Obwalden;2003;50.4;15.3;13.4
Nidwalden;2003;37.3;0.0;12.4
Glarus;2003;14.0;18.7;26.3
Zug;2003;29.0;8.3;21.3
Freiburg;2003;33.5;19.6;11.8
Solothurn;2003;22.0;25.2;15.5
Basel-Stadt;2003;9.9;26.0;10.0
Basel-Landschaft;2003;11.3;25.9;21.8
Schaffhausen;2003;5.4;26.6;33.6
Appenzell A. Rh. ;2003;;;
Appenzell I. Rh.;2003;;;
St. Gallen;2003;31.7;16.1;22.6
Graubünden;2003;;;
Aargau;2003;15.0;18.6;33.5
Thurgau ;2003;19.3;15.7;29.7
Tessin;2003;25.8;17.6;5.8
Waadt;2003;2.2;23.8;11.9
Wallis;2003;54.1;13.5;4.6
Neuenburg;2003;0.0;31.6;0.0
Genf;2003;11.7;17.8;10.4
Jura;2003;31.3;23.9;5.2
Zürich;2004;6.4;26.5;30.3
Bern;2004;1.0;26.1;31.8
Luzern;2004;35.9;11.6;19.9
Uri;2004;;;
Schwyz ;2004;32.0;15.2;29.1
Obwalden;2004;50.4;15.3;13.4
Nidwalden;2004;37.3;0.0;12.4
Glarus;2004;14.0;18.7;26.3
Zug;2004;29.0;8.3;21.3
Freiburg;2004;33.5;19.6;11.8
Solothurn;2004;22.0;25.2;15.5
Basel-Stadt;2004;8.1;31.2;12.1
Basel-Landschaft;2004;11.3;25.9;21.8
Schaffhausen;2004;4.6;27.2;35.6
Appenzell A. Rh. ;2004;;;
Appenzell I. Rh.;2004;;;
St. Gallen;2004;28.7;17.1;24.6
Graubünden;2004;;;
Aargau;2004;15.0;18.6;33.5
Thurgau ;2004;17.5;15.6;32.8
Tessin;2004;25.8;17.6;5.8
Waadt;2004;2.2;23.8;11.9
Wallis;2004;54.1;13.5;4.6
Neuenburg;2004;0.0;31.6;0.0
Genf;2004;11.7;17.8;10.4
Jura;2004;31.3;23.9;5.2
Zürich;2005;6.4;26.5;30.3
Bern;2005;1.0;26.1;31.8
Luzern;2005;35.9;11.6;19.9
Uri;2005;;;
Schwyz ;2005;32.0;15.2;29.1
Obwalden;2005;50.4;15.3;13.4
Nidwalden;2005;37.3;0.0;12.4
Glarus;2005;14.0;18.7;26.3
Zug;2005;29.0;8.3;21.3
Freiburg;2005;33.5;19.6;11.8
Solothurn;2005;21.5;24.9;17.6
Basel-Stadt;2005;8.1;31.2;12.1
Basel-Landschaft;2005;11.3;25.9;21.8
Schaffhausen;2005;4.6;27.2;35.6
Appenzell A. Rh. ;2005;;;
Appenzell I. Rh.;2005;;;
St. Gallen;2005;28.7;17.1;24.6
Graubünden;2005;;;
Aargau;2005;17.5;19.7;30.3
Thurgau ;2005;17.5;15.6;32.8
Tessin;2005;25.8;17.6;5.8
Waadt;2005;2.2;23.8;11.9
Wallis;2005;53.2;8.0;6.4
Neuenburg;2005;0.8;32.1;15.6
Genf;2005;9.8;14.6;9.6
Jura;2005;31.3;23.9;5.2
Zürich;2006;6.4;26.5;30.3
Bern;2006;1.8;24.0;27.4
Luzern;2006;35.9;11.6;19.9
Uri;2006;;;
Schwyz ;2006;32.0;15.2;29.1
Obwalden;2006;35.2;13.1;13.8
Nidwalden;2006;34.4;3.1;19.5
Glarus;2006;14.0;14.7;31.0
Zug;2006;28.7;6.8;19.8
Freiburg;2006;30.6;21.0;16.0
Solothurn;2006;21.5;24.9;17.6
Basel-Stadt;2006;8.1;31.2;12.1
Basel-Landschaft;2006;11.3;25.9;21.8
Schaffhausen;2006;4.6;27.2;35.6
Appenzell A. Rh. ;2006;;;
Appenzell I. Rh.;2006;;;
St. Gallen;2006;28.7;17.1;24.6
Graubünden;2006;;;
Aargau;2006;17.5;19.7;30.3
Thurgau ;2006;17.5;15.6;32.8
Tessin;2006;25.8;17.6;5.8
Waadt;2006;2.2;23.8;11.9
Wallis;2006;53.2;8.0;6.4
Neuenburg;2006;0.8;32.1;15.6
Genf;2006;9.8;14.6;9.6
Jura;2006;30.1;19.8;5.8
Zürich;2007;7.2;19.5;30.5
Bern;2007;1.8;24.0;27.4
Luzern;2007;37.3;10.7;18.2
Uri;2007;;;
Schwyz ;2007;32.0;15.2;29.1
Obwalden;2007;35.2;13.1;13.8
Nidwalden;2007;34.4;3.1;19.5
Glarus;2007;14.0;14.7;31.0
Zug;2007;28.7;6.8;19.8
Freiburg;2007;30.6;21.0;16.0
Solothurn;2007;21.5;24.9;17.6
Basel-Stadt;2007;8.1;31.2;12.1
Basel-Landschaft;2007;12.1;22.9;22.5
Schaffhausen;2007;4.6;27.2;35.6
Appenzell A. Rh. ;2007;;;
Appenzell I. Rh.;2007;;;
St. Gallen;2007;28.7;17.1;24.6
Graubünden;2007;;;
Aargau;2007;17.5;19.7;30.3
Thurgau ;2007;17.5;15.6;32.8
Tessin;2007;23.2;19.0;4.6
Waadt;2007;0.4;22.5;15.6
Wallis;2007;53.2;8.0;6.4
Neuenburg;2007;0.8;32.1;15.6
Genf;2007;9.8;14.6;9.6
Jura;2007;30.1;19.8;5.8
Zürich;2008;7.2;19.5;30.5
Bern;2008;1.8;24.0;27.4
Luzern;2008;37.3;10.7;18.2
Uri;2008;34.7;3.6;30.4
Schwyz ;2008;29.8;8.8;37.5
Obwalden;2008;35.2;13.1;13.8
Nidwalden;2008;34.4;3.1;19.5
Glarus;2008;14.0;14.7;31.0
Zug;2008;28.7;6.8;19.8
Freiburg;2008;30.6;21.0;16.0
Solothurn;2008;21.5;24.9;17.6
Basel-Stadt;2008;9.3;28.2;13.9
Basel-Landschaft;2008;12.1;22.9;22.5
Schaffhausen;2008;5.1;23.0;32.6
Appenzell A. Rh. ;2008;;;
Appenzell I. Rh.;2008;;;
St. Gallen;2008;26.1;13.3;30.5
Graubünden;2008;;;
Aargau;2008;17.5;19.7;30.3
Thurgau ;2008;15.9;12.8;36.4
Tessin;2008;23.2;19.0;4.6
Waadt;2008;0.4;22.5;15.6
Wallis;2008;53.2;8.0;6.4
Neuenburg;2008;0.8;32.1;15.6
Genf;2008;9.8;14.6;9.6
Jura;2008;30.1;19.8;5.8
Zürich;2009;7.2;19.5;30.5
Bern;2009;1.8;24.0;27.4
Luzern;2009;37.3;10.7;18.2
Uri;2009;34.7;3.6;30.4
Schwyz ;2009;29.8;8.8;37.5
Obwalden;2009;35.2;13.1;13.8
Nidwalden;2009;34.4;3.1;19.5
Glarus;2009;14.0;14.7;31.0
Zug;2009;28.7;6.8;19.8
Freiburg;2009;30.6;21.0;16.0
Solothurn;2009;20.8;20.7;19.4
Basel-Stadt;2009;9.3;28.2;13.9
Basel-Landschaft;2009;12.1;22.9;22.5
Schaffhausen;2009;5.1;23.0;32.6
Appenzell A. Rh. ;2009;;;
Appenzell I. Rh.;2009;;;
St. Gallen;2009;26.1;13.3;30.5
Graubünden;2009;;;
Aargau;2009;15.0;15.7;31.9
Thurgau ;2009;15.9;12.8;36.4
Tessin;2009;23.2;19.0;4.6
Waadt;2009;0.4;22.5;15.6
Wallis;2009;48.5;7.0;11.5
Neuenburg;2009;3.2;28.2;12.7
Genf;2009;9.9;12.9;8.6
Jura;2009;30.1;19.8;5.8
Zürich;2010;7.2;19.5;30.5
Bern;2010;1.3;18.9;26.6
Luzern;2010;37.3;10.7;18.2
Uri;2010;34.7;3.6;30.4
Schwyz ;2010;29.8;8.8;37.5
Obwalden;2010;33.8;10.9;21.1
Nidwalden;2010;31.1;2.1;26.6
Glarus;2010;10.7;13.9;26.3
Zug;2010;26.5;9.1;22.7
Freiburg;2010;30.6;21.0;16.0
Solothurn;2010;20.8;20.7;19.4
Basel-Stadt;2010;9.3;28.2;13.9
Basel-Landschaft;2010;12.1;22.9;22.5
Schaffhausen;2010;5.1;23.0;32.6
Appenzell A. Rh. ;2010;;;
Appenzell I. Rh.;2010;;;
St. Gallen;2010;26.1;13.3;30.5
Graubünden;2010;;;
Aargau;2010;15.0;15.7;31.9
Thurgau ;2010;15.9;12.8;36.4
Tessin;2010;23.2;19.0;4.6
Waadt;2010;0.4;22.5;15.6
Wallis;2010;48.5;7.0;11.5
Neuenburg;2010;3.2;28.2;12.7
Genf;2010;9.9;12.9;8.6
Jura;2010;28.9;21.2;6.4
Zürich;2011;4.9;19.3;29.6
Bern;2011;1.3;18.9;26.6
Luzern;2011;31.3;11.0;22.1
Uri;2011;34.7;3.6;30.4
Schwyz ;2011;29.8;8.8;37.5
Obwalden;2011;33.8;10.9;21.1
Nidwalden;2011;31.1;2.1;26.6
Glarus;2011;10.7;13.9;26.3
Zug;2011;26.5;9.1;22.7
Freiburg;2011;26.6;24.3;18.6
Solothurn;2011;20.8;20.7;19.4
Basel-Stadt;2011;9.3;28.2;13.9
Basel-Landschaft;2011;9.3;22.0;24.0
Schaffhausen;2011;5.1;23.0;32.6
Appenzell A. Rh. ;2011;4.2;11.0;17.2
Appenzell I. Rh.;2011;;;
St. Gallen;2011;26.1;13.3;30.5
Graubünden;2011;;;
Aargau;2011;15.0;15.7;31.9
Thurgau ;2011;15.9;12.8;36.4
Tessin;2011;20.5;15.1;0.0
Waadt;2011;0.4;22.5;15.6
Wallis;2011;48.5;7.0;11.5
Neuenburg;2011;3.2;28.2;12.7
Genf;2011;9.9;12.9;8.6
Jura;2011;28.9;21.2;6.4
Zürich;2012;4.9;19.3;29.6
Bern;2012;1.3;18.9;26.6
Luzern;2012;31.3;11.0;22.1
Uri;2012;36.6;0.0;24.6
Schwyz ;2012;29.1;10.8;34.0
Obwalden;2012;33.8;10.9;21.1
Nidwalden;2012;31.1;2.1;26.6
Glarus;2012;10.7;13.9;26.3
Zug;2012;26.5;9.1;22.7
Freiburg;2012;26.6;24.3;18.6
Solothurn;2012;20.8;20.7;19.4
Basel-Stadt;2012;7.3;30.7;15.0
Basel-Landschaft;2012;9.3;22.0;24.0
Schaffhausen;2012;4.9;22.6;33.6
Appenzell A. Rh. ;2012;4.2;11.0;17.2
Appenzell I. Rh.;2012;;;
St. Gallen;2012;20.1;15.1;25.4
Graubünden;2012;;;
Aargau;2012;15.0;15.7;31.9
Thurgau ;2012;14.2;13.4;30.5
Tessin;2012;20.5;15.1;0.0
Waadt;2012;0.0;24.6;17.1
Wallis;2012;48.5;7.0;11.5
Neuenburg;2012;3.2;28.2;12.7
Genf;2012;9.9;12.9;8.6
Jura;2012;28.9;21.2;6.4
Zürich;2013;4.9;19.3;29.6
Bern;2013;1.3;18.9;26.6
Luzern;2013;31.3;11.0;22.1
Uri;2013;36.6;0.0;24.6
Schwyz ;2013;29.1;10.8;34.0
Obwalden;2013;33.8;10.9;21.1
Nidwalden;2013;31.1;2.1;26.6
Glarus;2013;10.7;13.9;26.3
Zug;2013;26.5;9.1;22.7
Freiburg;2013;26.6;24.3;18.6
Solothurn;2013;18.4;19.1;20.2
Basel-Stadt;2013;7.3;30.7;15.0
Basel-Landschaft;2013;9.3;22.0;24.0
Schaffhausen;2013;4.9;22.6;33.6
Appenzell A. Rh. ;2013;4.2;11.0;17.2
Appenzell I. Rh.;2013;;;
St. Gallen;2013;20.1;15.1;25.4
Graubünden;2013;;;
Aargau;2013;15.0;15.7;31.9
Thurgau ;2013;14.2;13.4;30.5
Tessin;2013;20.5;15.1;0.0
Waadt;2013;0.0;24.6;17.1
Wallis;2013;43.8;4.8;17.2
Neuenburg;2013;2.7;26.5;16.9
Genf;2013;10.6;14.3;10.3
Jura;2013;28.9;21.2;6.4
Zürich;2014;4.9;19.3;29.6
Bern;2014;0.8;19.1;29.0
Luzern;2014;31.3;11.0;22.1
Uri;2014;36.6;0.0;24.6
Schwyz ;2014;29.1;10.8;34.0
Obwalden;2014;32.1;12.8;24.5
Nidwalden;2014;29.1;4.8;29.1
Glarus;2014;8.9;11.5;28.8
Zug;2014;26.8;9.3;23.6
Freiburg;2014;26.6;24.3;18.6
Solothurn;2014;18.4;19.1;20.2
Basel-Stadt;2014;7.3;30.7;15.0
Basel-Landschaft;2014;9.3;22.0;24.0
Schaffhausen;2014;4.9;22.6;33.6
Appenzell A. Rh. ;2014;4.2;11.0;17.2
Appenzell I. Rh.;2014;;;
St. Gallen;2014;20.1;15.1;25.4
Graubünden;2014;;;
Aargau;2014;15.0;15.7;31.9
Thurgau ;2014;14.2;13.4;30.5
Tessin;2014;20.5;15.1;0.0
Waadt;2014;0.0;24.6;17.1
Wallis;2014;43.8;4.8;17.2
Neuenburg;2014;2.7;26.5;16.9
Genf;2014;10.6;14.3;10.3
Jura;2014;28.9;21.2;6.4
Zürich;2015;4.9;19.7;30.0
Bern;2015;0.8;19.1;29.0
Luzern;2015;30.9;11.8;24.1
Uri;2015;36.6;0.0;24.6
Schwyz ;2015;29.1;10.8;34.0
Obwalden;2015;32.1;12.8;24.5
Nidwalden;2015;29.1;4.8;29.1
Glarus;2015;8.9;11.5;28.8
Zug;2015;26.8;9.3;23.6
Freiburg;2015;26.6;24.3;18.6
Solothurn;2015;18.4;19.1;20.2
Basel-Stadt;2015;7.3;30.7;15.0
Basel-Landschaft;2015;9.6;22.0;26.7
Schaffhausen;2015;4.9;22.6;33.6
Appenzell A. Rh. ;2015;6.0;11.5;16.3
Appenzell I. Rh.;2015;;;
St. Gallen;2015;20.1;15.1;25.4
Graubünden;2015;;;
Aargau;2015;15.0;15.7;31.9
Thurgau ;2015;14.2;13.4;30.5
Tessin;2015;18.6;14.6;0.0
Waadt;2015;0.0;24.6;17.1
Wallis;2015;43.8;4.8;17.2
Neuenburg;2015;2.7;26.5;16.9
Genf;2015;10.6;14.3;10.3
Jura;2015;26.8;20.0;8.5
Zürich;2016;4.9;19.7;30.0
Bern;2016;0.8;19.1;29.0
Luzern;2016;30.9;11.8;24.1
Uri;2016;31.3;2.8;24.1
Schwyz ;2016;27.2;8.3;33.1
Obwalden;2016;32.1;12.8;24.5
Nidwalden;2016;29.1;4.8;29.1
Glarus;2016;8.9;11.5;28.8
Zug;2016;26.8;9.3;23.6
Freiburg;2016;23.7;23.6;19.7
Solothurn;2016;18.4;19.1;20.2
Basel-Stadt;2016;5.9;32.5;14.3
Basel-Landschaft;2016;9.6;22.0;26.7
Schaffhausen;2016;3.7;22.8;35.1
Appenzell A. Rh. ;2016;6.0;11.5;16.3
Appenzell I. Rh.;2016;;;
St. Gallen;2016;18.4;12.3;29.5
Graubünden;2016;;;
Aargau;2016;12.1;18.9;31.9
Thurgau ;2016;13.4;13.1;32.6
Tessin;2016;18.6;14.6;0.0
Waadt;2016;0.0;24.6;17.1
Wallis;2016;43.8;4.8;17.2
Neuenburg;2016;2.7;26.5;16.9
Genf;2016;10.6;14.3;10.3
Jura;2016;26.8;20.0;8.5
Zürich;2017;4.9;19.7;30.0
Bern;2017;0.8;19.1;29.0
Luzern;2017;30.9;11.8;24.1
Uri;2017;31.3;2.8;24.1
Schwyz ;2017;27.2;8.3;33.1
Obwalden;2017;32.1;12.8;24.5
Nidwalden;2017;29.1;4.8;29.1
Glarus;2017;8.9;11.5;28.8
Zug;2017;26.8;9.3;23.6
Freiburg;2017;23.7;23.6;19.7
Solothurn;2017;18.9;19.9;19.7
Basel-Stadt;2017;5.9;32.5;14.3
Basel-Landschaft;2017;9.6;22.0;26.7
Schaffhausen;2017;3.7;22.8;35.1
Appenzell A. Rh. ;2017;6.0;11.5;16.3
Appenzell I. Rh.;2017;;;
St. Gallen;2017;18.4;12.3;29.5
Graubünden;2017;;;
Aargau;2017;12.1;18.9;31.9
Thurgau ;2017;13.4;13.1;32.6
Tessin;2017;18.6;14.6;0.0
Waadt;2017;0.0;23.4;15.8
Wallis;2017;41.7;3.3;16.4
Neuenburg;2017;2.7;23.6;11.5
Genf;2017;10.6;14.3;10.3
Jura;2017;26.8;20.0;8.5
Zürich;2018;4.9;19.7;30.0
Bern;2018;0.8;19.1;29.0
Luzern;2018;30.9;11.8;24.1
Uri;2018;31.3;2.8;24.1
Schwyz ;2018;27.2;8.3;33.1
Obwalden;2018;29.8;15.1;24.5
Nidwalden;2018;26.8;4.5;25.9
Glarus;2018;9.4;12.8;25.3
Zug;2018;25.6;11.8;22.4
Freiburg;2018;23.7;23.6;19.7
Solothurn;2018;18.9;19.9;19.7
Basel-Stadt;2018;5.9;32.5;14.3
Basel-Landschaft;2018;9.6;22.0;26.7
Schaffhausen;2018;3.7;22.8;35.1
Appenzell A. Rh. ;2018;6.0;11.5;16.3
Appenzell I. Rh.;2018;;;
St. Gallen;2018;18.4;12.3;29.5
Graubünden;2018;;;
Aargau;2018;12.1;18.9;31.9
Thurgau ;2018;13.4;13.1;32.6
Tessin;2018;18.6;14.6;0.0
Waadt;2018;0.0;23.4;15.8
Wallis;2018;41.7;3.3;16.4
Neuenburg;2018;2.7;23.6;11.5
Genf;2018;10.7;15.3;7.3
Jura;2018;26.8;20.0;8.5
Zürich;2019;4.3;19.3;24.5
Bern;2019;0.8;19.1;29.0
Luzern;2019;27.5;13.8;19.6
Uri;2019;31.3;2.8;24.1
Schwyz ;2019;27.2;8.3;33.1
Obwalden;2019;29.8;15.1;24.5
Nidwalden;2019;26.8;4.5;25.9
Glarus;2019;9.4;12.8;25.3
Zug;2019;25.6;11.8;22.4
Freiburg;2019;23.7;23.6;19.7
Solothurn;2019;18.9;19.9;19.7
Basel-Stadt;2019;5.9;32.5;14.3
Basel-Landschaft;2019;9.3;22.8;22.7
Schaffhausen;2019;3.7;22.8;35.1
Appenzell A. Rh. ;2019;4.4;14.7;12.2
Appenzell I. Rh.;2019;;;
St. Gallen;2019;18.4;12.3;29.5
Graubünden;2019;;;
Aargau;2019;12.1;18.9;31.9
Thurgau ;2019;13.4;13.1;32.6
Tessin;2019;17.6;0.0;0.0
Waadt;2019;0.0;23.4;15.8
Wallis;2019;41.7;3.3;16.4
Neuenburg;2019;2.7;23.6;11.5
Genf;2019;10.7;15.3;7.3
Jura;2019;26.8;20.0;8.5
Zürich;2020;4.3;19.3;24.5
Bern;2020;0.8;19.1;29.0
Luzern;2020;27.5;13.8;19.6
Uri;2020;30.9;1.4;24.6
Schwyz ;2020;24.0;6.2;33.2
Obwalden;2020;29.8;15.1;24.5
Nidwalden;2020;26.8;4.5;25.9
Glarus;2020;9.4;12.8;25.3
Zug;2020;25.6;11.8;22.4
Freiburg;2020;23.7;23.6;19.7
Solothurn;2020;18.9;19.9;19.7
Basel-Stadt;2020;6.3;30.0;11.0
Basel-Landschaft;2020;9.3;22.8;22.7
Schaffhausen;2020;3.2;19.7;33.4
Appenzell A. Rh. ;2020;4.4;14.7;12.2
Appenzell I. Rh.;2020;;;
St. Gallen;2020;21.7;11.2;26.9
Graubünden;2020;;;
Aargau;2020;12.8;16.3;30.1
Thurgau ;2020;13.6;11.6;32.3
Tessin;2020;17.6;0.0;0.0
Waadt;2020;0.0;23.4;15.8
Wallis;2020;41.7;3.3;16.4
Neuenburg;2020;2.7;23.6;11.5
Genf;2020;10.7;15.3;7.3
Jura;2020;24.4;20.2;6.7
Zürich;2021;4.3;19.3;24.5
Bern;2021;0.8;19.1;29.0
Luzern;2021;27.5;13.8;19.6
Uri;2021;30.9;1.4;24.6
Schwyz ;2021;24.0;6.2;33.2
Obwalden;2021;29.8;15.1;24.5
Nidwalden;2021;26.8;4.5;25.9
Glarus;2021;9.4;12.8;25.3
Zug;2021;25.6;11.8;22.4
Freiburg;2021;22.1;18.2;16.4
Solothurn;2021;17.6;19.3;21.0
Basel-Stadt;2021;6.3;30.0;11.0
Basel-Landschaft;2021;9.3;22.8;22.7
Schaffhausen;2021;3.2;19.7;33.4
Appenzell A. Rh. ;2021;4.4;14.7;12.2
Appenzell I. Rh.;2021;;;
St. Gallen;2021;21.7;11.2;26.9
Graubünden;2021;;;
Aargau;2021;12.8;16.3;30.1
Thurgau ;2021;13.6;11.6;32.3
Tessin;2021;17.6;0.0;0.0
Waadt;2021;0.0;23.4;15.8
Wallis;2021;38.5;1.0;16.9
Neuenburg;2021;4.0;19.7;8.1
Genf;2021;10.7;15.3;7.3
Jura;2021;24.4;20.2;6.7
Zürich;2022;7.4;18.9;25.8
Bern;2022;0.8;19.1;29.0
Luzern;2022;27.5;13.8;19.6
Uri;2022;30.9;1.4;24.6
Schwyz ;2022;24.0;6.2;33.2
Obwalden;2022;28.1;12.5;25.6
Nidwalden;2022;25.9;3.0;24.3
Glarus;2022;17.6;12.2;30.3
Zug;2022;24.0;10.2;21.6
Freiburg;2022;22.1;18.2;16.4
Solothurn;2022;17.6;19.3;21.0
Basel-Stadt;2022;6.3;30.0;11.0
Basel-Landschaft;2022;9.3;22.8;22.7
Schaffhausen;2022;3.2;19.7;33.4
Appenzell A. Rh. ;2022;;;
Appenzell I. Rh.;2022;;;
St. Gallen;2022;21.7;11.2;26.9
Graubünden;2022;28.0;0.0;21.1
Aargau;2022;12.8;16.3;30.1
Thurgau ;2022;13.6;11.6;32.3
Tessin;2022;17.6;0.0;0.0
Waadt;2022;1.1;20.1;14.1
Wallis;2022;38.5;1.0;16.9
Neuenburg;2022;4.0;19.7;8.1
Genf;2022;10.7;15.3;7.3
Jura;2022;24.4;20.2;6.7