Year;Kanton;Divorces
1995;Appenzell I. Rh.;17
1995;St. Gallen;890
1995;Graubünden;291
1995;Aargau;1049
1995;Thurgau;466
1995;Tessin;637
1995;Waadt;1642
1995;Wallis;435
1995;Neuenburg;419
1995;Genf;1167
1995;Jura;133
1996;Schweiz;16172
1996;Zürich;3188
1996;Bern;1944
1996;Luzern;531
1996;Uri;54
1996;Schwyz;230
1996;Obwalden;40
1996;Nidwalden;55
1996;Glarus;87
1996;Zug;204
1996;Freiburg;454
1996;Solothurn;609
1996;Basel-Stadt;499
1996;Basel-Landschaft;659
1996;Schaffhausen;183
1996;Appenzell A. Rh.;99
1996;Appenzell I. Rh.;9
1996;St. Gallen;953
1996;Graubünden;291
1996;Aargau;1111
1996;Thurgau;520
1996;Tessin;619
1996;Waadt;1657
1996;Wallis;489
1996;Neuenburg;453
1996;Genf;1109
1996;Jura;125
1997;Schweiz;17073
1997;Zürich;3456
1997;Bern;1968
1997;Luzern;582
1997;Uri;36
1997;Schwyz;247
1997;Obwalden;40
1997;Nidwalden;69
1997;Glarus;79
1997;Zug;197
1997;Freiburg;486
1997;Solothurn;591
1997;Basel-Stadt;526
1997;Basel-Landschaft;640
1997;Schaffhausen;174
1997;Appenzell A. Rh.;145
1997;Appenzell I. Rh.;21
1997;St. Gallen;1031
1997;Graubünden;343
1997;Aargau;1230
1997;Thurgau;515
1997;Tessin;720
1997;Waadt;1618
1997;Wallis;551
1997;Neuenburg;473
1997;Genf;1197
1997;Jura;138
1998;Schweiz;17868
1998;Zürich;3602
1998;Bern;2160
1998;Luzern;620
1998;Uri;31
1998;Schwyz;259
1998;Obwalden;38
1998;Nidwalden;74
1998;Glarus;86
1998;Zug;223
1998;Freiburg;516
1998;Solothurn;640
1998;Basel-Stadt;511
1998;Basel-Landschaft;612
1998;Schaffhausen;200
1998;Appenzell A. Rh.;112
1998;Appenzell I. Rh.;7
1998;St. Gallen;1020
1998;Graubünden;357
1998;Aargau;1383
1998;Thurgau;606
1998;Tessin;689
1998;Waadt;1789
1998;Wallis;534
1998;Neuenburg;493
1998;Genf;1149
1998;Jura;157
1999;Schweiz;20809
1999;Zürich;3828
1999;Bern;2737
1999;Luzern;662
1999;Uri;57
1999;Schwyz;303
1999;Obwalden;53
1999;Nidwalden;72
1999;Glarus;111
1999;Zug;270
1999;Freiburg;559
1999;Solothurn;876
1999;Basel-Stadt;577
1999;Basel-Landschaft;820
1999;Schaffhausen;218
1999;Appenzell A. Rh.;133
1999;Appenzell I. Rh.;23
1999;St. Gallen;1259
1999;Graubünden;415
1999;Aargau;1453
1999;Thurgau;584
1999;Tessin;813
1999;Waadt;2178
1999;Wallis;696
1999;Neuenburg;582
1999;Genf;1351
1999;Jura;179
2000;Schweiz;10511
2000;Zürich;1977
2000;Bern;1006
2000;Luzern;510
2000;Uri;20
2000;Schwyz;127
2000;Obwalden;33
2000;Nidwalden;41
2000;Glarus;28
2000;Zug;124
2000;Freiburg;448
2000;Solothurn;291
2000;Basel-Stadt;228
2000;Basel-Landschaft;234
2000;Schaffhausen;89
2000;Appenzell A. Rh.;78
2000;Appenzell I. Rh.;12
2000;St. Gallen;728
2000;Graubünden;327
2000;Aargau;780
2000;Thurgau;404
2000;Tessin;384
2000;Waadt;893
2000;Wallis;390
2000;Neuenburg;316
2000;Genf;982
2000;Jura;61
2001;Schweiz;15778
2001;Zürich;2708
2001;Bern;1832
2001;Luzern;554
2001;Uri;45
2001;Schwyz;224
2001;Obwalden;26
2001;Nidwalden;69
2001;Glarus;67
2001;Zug;225
2001;Freiburg;536
2001;Solothurn;549
2001;Basel-Stadt;520
2001;Basel-Landschaft;523
2001;Schaffhausen;162
2001;Appenzell A. Rh.;113
2001;Appenzell I. Rh.;16
2001;St. Gallen;933
2001;Graubünden;328
2001;Aargau;1065
2001;Thurgau;462
2001;Tessin;677
2001;Waadt;1934
2001;Wallis;563
2001;Neuenburg;499
2001;Genf;1065
2001;Jura;83
2002;Schweiz;16363
2002;Zürich;2959
2002;Bern;1890
2002;Luzern;537
2002;Uri;50
2002;Schwyz;292
2002;Obwalden;39
2002;Nidwalden;77
2002;Glarus;64
2002;Zug;227
2002;Freiburg;543
2002;Solothurn;518
2002;Basel-Stadt;477
2002;Basel-Landschaft;519
2002;Schaffhausen;161
2002;Appenzell A. Rh.;113
2002;Appenzell I. Rh.;18
2002;St. Gallen;1012
2002;Graubünden;372
2002;Aargau;1163
2002;Thurgau;558
2002;Tessin;718
2002;Waadt;1752
2002;Wallis;554
2002;Neuenburg;529
2002;Genf;1120
2002;Jura;101
2003;Schweiz;16799
2003;Zürich;3218
2003;Bern;1993
2003;Luzern;593
2003;Uri;32
2003;Schwyz;271
2003;Obwalden;44
2003;Nidwalden;79
2003;Glarus;77
2003;Zug;181
2003;Freiburg;569
2003;Solothurn;579
2003;Basel-Stadt;502
2003;Basel-Landschaft;549
2003;Schaffhausen;165
2003;Appenzell A. Rh.;122
2003;Appenzell I. Rh.;9
2003;St. Gallen;1078
2003;Graubünden;395
2003;Aargau;1227
2003;Thurgau;510
2003;Tessin;664
2003;Waadt;1686
2003;Wallis;616
2003;Neuenburg;424
2003;Genf;1061
2003;Jura;155
2004;Schweiz;17949
2004;Zürich;3399
2004;Bern;2169
2004;Luzern;635
2004;Uri;36
2004;Schwyz;316
2004;Obwalden;54
2004;Nidwalden;80
2004;Glarus;77
2004;Zug;250
2004;Freiburg;626
2004;Solothurn;648
2004;Basel-Stadt;543
2004;Basel-Landschaft;622
2004;Schaffhausen;117
2004;Appenzell A. Rh.;139
2004;Appenzell I. Rh.;11
2004;St. Gallen;1079
2004;Graubünden;410
2004;Aargau;1292
2004;Thurgau;566
2004;Tessin;721
2004;Waadt;1987
2004;Wallis;619
2004;Neuenburg;574
2004;Genf;874
2004;Jura;105
2005;Schweiz;21332
2005;Zürich;4356
2005;Bern;2775
2005;Luzern;732
2005;Uri;60
2005;Schwyz;302
2005;Obwalden;46
2005;Nidwalden;74
2005;Glarus;91
2005;Zug;291
2005;Freiburg;713
2005;Solothurn;744
2005;Basel-Stadt;585
2005;Basel-Landschaft;727
2005;Schaffhausen;170
2005;Appenzell A. Rh.;173
2005;Appenzell I. Rh.;31
2005;St. Gallen;1219
2005;Graubünden;424
2005;Aargau;1525
2005;Thurgau;653
2005;Tessin;822
2005;Waadt;2153
2005;Wallis;637
2005;Neuenburg;609
2005;Genf;1251
2005;Jura;169
2006;Schweiz;20981
2006;Zürich;4036
2006;Bern;2618
2006;Luzern;792
2006;Uri;41
2006;Schwyz;350
2006;Obwalden;53
2006;Nidwalden;96
2006;Glarus;87
2006;Zug;262
2006;Freiburg;674
2006;Solothurn;693
2006;Basel-Stadt;598
2006;Basel-Landschaft;766
2006;Schaffhausen;165
2006;Appenzell A. Rh.;130
2006;Appenzell I. Rh.;32
2006;St. Gallen;1165
2006;Graubünden;432
2006;Aargau;1613
2006;Thurgau;586
2006;Tessin;762
2006;Waadt;2125
2006;Wallis;771
2006;Neuenburg;639
2006;Genf;1310
2006;Jura;185
2007;Schweiz;19882
2007;Zürich;3850
2007;Bern;2402
2007;Luzern;751
2007;Uri;55
2007;Schwyz;314
2007;Obwalden;76
2007;Nidwalden;98
2007;Glarus;86
2007;Zug;255
2007;Freiburg;695
2007;Solothurn;692
2007;Basel-Stadt;587
2007;Basel-Landschaft;630
2007;Schaffhausen;206
2007;Appenzell A. Rh.;113
2007;Appenzell I. Rh.;21
2007;St. Gallen;1046
2007;Graubünden;431
2007;Aargau;1453
2007;Thurgau;585
2007;Tessin;806
2007;Waadt;2028
2007;Wallis;678
2007;Neuenburg;592
2007;Genf;1272
2007;Jura;160
2008;Schweiz;19613
2008;Zürich;3929
2008;Bern;2333
2008;Luzern;748
2008;Uri;54
2008;Schwyz;297
2008;Obwalden;69
2008;Nidwalden;71
2008;Glarus;85
2008;Zug;257
2008;Freiburg;692
2008;Solothurn;677
2008;Basel-Stadt;527
2008;Basel-Landschaft;698
2008;Schaffhausen;230
2008;Appenzell A. Rh.;122
2008;Appenzell I. Rh.;15
2008;St. Gallen;1050
2008;Graubünden;400
2008;Aargau;1415
2008;Thurgau;581
2008;Tessin;803
2008;Waadt;1949
2008;Wallis;657
2008;Neuenburg;561
2008;Genf;1220
2008;Jura;173
2009;Schweiz;19321
2009;Zürich;3957
2009;Bern;2373
2009;Luzern;777
2009;Uri;40
2009;Schwyz;310
2009;Obwalden;57
2009;Nidwalden;79
2009;Glarus;81
2009;Zug;245
2009;Freiburg;698
2009;Solothurn;663
2009;Basel-Stadt;554
2009;Basel-Landschaft;604
2009;Schaffhausen;204
2009;Appenzell A. Rh.;144
2009;Appenzell I. Rh.;15
2009;St. Gallen;881
2009;Graubünden;372
2009;Aargau;1409
2009;Thurgau;558
2009;Tessin;813
2009;Waadt;1852
2009;Wallis;635
2009;Neuenburg;609
2009;Genf;1211
2009;Jura;180
2010;Schweiz;22081
2010;Zürich;4379
2010;Bern;2713
2010;Luzern;829
2010;Uri;50
2010;Schwyz;340
2010;Obwalden;68
2010;Nidwalden;108
2010;Glarus;76
2010;Zug;280
2010;Freiburg;730
2010;Solothurn;753
2010;Basel-Stadt;647
2010;Basel-Landschaft;683
2010;Schaffhausen;175
2010;Appenzell A. Rh.;150
2010;Appenzell I. Rh.;34
2010;St. Gallen;1253
2010;Graubünden;415
2010;Aargau;1695
2010;Thurgau;657
2010;Tessin;885
2010;Waadt;2111
2010;Wallis;819
2010;Neuenburg;613
2010;Genf;1410
2010;Jura;208
2011;Schweiz;17566
2011;Zürich;3349
2011;Bern;2259
2011;Luzern;651
2011;Uri;47
2011;Schwyz;317
2011;Obwalden;61
2011;Nidwalden;72
2011;Glarus;54
2011;Zug;242
2011;Freiburg;679
2011;Solothurn;573
2011;Basel-Stadt;411
2011;Basel-Landschaft;589
2011;Schaffhausen;173
2011;Appenzell A. Rh.;107
2011;Appenzell I. Rh.;16
2011;St. Gallen;916
2011;Graubünden;355
2011;Aargau;1279
2011;Thurgau;536
2011;Tessin;737
2011;Waadt;1585
2011;Wallis;684
2011;Neuenburg;534
2011;Genf;1154
2011;Jura;186
2012;Schweiz;17550
2012;Zürich;3326
2012;Bern;2286
2012;Luzern;674
2012;Uri;56
2012;Schwyz;260
2012;Obwalden;65
2012;Nidwalden;78
2012;Glarus;81
2012;Zug;244
2012;Freiburg;657
2012;Solothurn;531
2012;Basel-Stadt;449
2012;Basel-Landschaft;589
2012;Schaffhausen;161
2012;Appenzell A. Rh.;105
2012;Appenzell I. Rh.;23
2012;St. Gallen;959
2012;Graubünden;354
2012;Aargau;1241
2012;Thurgau;475
2012;Tessin;704
2012;Waadt;1679
2012;Wallis;694
2012;Neuenburg;492
2012;Genf;1209
2012;Jura;158
2013;Schweiz;17119
2013;Zürich;3195
2013;Bern;2162
2013;Luzern;671
2013;Uri;47
2013;Schwyz;275
2013;Obwalden;47
2013;Nidwalden;72
2013;Glarus;69
2013;Zug;229
2013;Freiburg;617
2013;Solothurn;571
2013;Basel-Stadt;412
2013;Basel-Landschaft;558
2013;Schaffhausen;158
2013;Appenzell A. Rh.;116
2013;Appenzell I. Rh.;24
2013;St. Gallen;937
2013;Graubünden;327
2013;Aargau;1222
2013;Thurgau;461
2013;Tessin;701
2013;Waadt;1721
2013;Wallis;632
2013;Neuenburg;505
2013;Genf;1223
2013;Jura;167
2014;Schweiz;16737
2014;Zürich;3184
2014;Bern;2055
2014;Luzern;665
2014;Uri;41
2014;Schwyz;279
2014;Obwalden;52
2014;Nidwalden;82
2014;Glarus;70
2014;Zug;205
2014;Freiburg;626
2014;Solothurn;532
2014;Basel-Stadt;405
2014;Basel-Landschaft;542
2014;Schaffhausen;169
2014;Appenzell A. Rh.;99
2014;Appenzell I. Rh.;27
2014;St. Gallen;958
2014;Graubünden;352
2014;Aargau;1239
2014;Thurgau;501
2014;Tessin;701
2014;Waadt;1508
2014;Wallis;653
2014;Neuenburg;468
2014;Genf;1165
2014;Jura;159
2015;Schweiz;16960
2015;Zürich;3127
2015;Bern;2087
2015;Luzern;656
2015;Uri;48
2015;Schwyz;294
2015;Obwalden;62
2015;Nidwalden;73
2015;Glarus;80
2015;Zug;222
2015;Freiburg;597
2015;Solothurn;516
2015;Basel-Stadt;412
2015;Basel-Landschaft;525
2015;Schaffhausen;148
2015;Appenzell A. Rh.;119
2015;Appenzell I. Rh.;15
2015;St. Gallen;936
2015;Graubünden;360
2015;Aargau;1301
2015;Thurgau;483
2015;Tessin;672
2015;Waadt;1798
2015;Wallis;694
2015;Neuenburg;436
2015;Genf;1144
2015;Jura;155
2016;Schweiz;17028
2016;Zürich;3193
2016;Bern;2084
2016;Luzern;634
2016;Uri;41
2016;Schwyz;260
2016;Obwalden;58
2016;Nidwalden;61
2016;Glarus;80
2016;Zug;223
2016;Freiburg;638
2016;Solothurn;545
2016;Basel-Stadt;413
2016;Basel-Landschaft;570
2016;Schaffhausen;158
2016;Appenzell A. Rh.;87
2016;Appenzell I. Rh.;17
2016;St. Gallen;954
2016;Graubünden;342
2016;Aargau;1294
2016;Thurgau;504
2016;Tessin;663
2016;Waadt;1792
2016;Wallis;680
2016;Neuenburg;449
2016;Genf;1126
2016;Jura;162
2017;Schweiz;15906
2017;Zürich;2979
2017;Bern;1950
2017;Luzern;634
2017;Uri;46
2017;Schwyz;291
2017;Obwalden;43
2017;Nidwalden;65
2017;Glarus;57
2017;Zug;191
2017;Freiburg;595
2017;Solothurn;485
2017;Basel-Stadt;348
2017;Basel-Landschaft;492
2017;Schaffhausen;144
2017;Appenzell A. Rh.;91
2017;Appenzell I. Rh.;19
2017;St. Gallen;907
2017;Graubünden;306
2017;Aargau;1196
2017;Thurgau;475
2017;Tessin;648
2017;Waadt;1606
2017;Wallis;653
2017;Neuenburg;358
2017;Genf;1148
2017;Jura;179
2018;Schweiz;16542
2018;Zürich;3046
2018;Bern;1913
2018;Luzern;703
2018;Uri;40
2018;Schwyz;272
2018;Obwalden;43
2018;Nidwalden;79
2018;Glarus;66
2018;Zug;236
2018;Freiburg;594
2018;Solothurn;576
2018;Basel-Stadt;361
2018;Basel-Landschaft;591
2018;Schaffhausen;132
2018;Appenzell A. Rh.;109
2018;Appenzell I. Rh.;25
2018;St. Gallen;912
2018;Graubünden;341
2018;Aargau;1268
2018;Thurgau;487
2018;Tessin;680
2018;Waadt;1566
2018;Wallis;713
2018;Neuenburg;410
2018;Genf;1208
2018;Jura;171
2019;Schweiz;16885
2019;Zürich;3100
2019;Bern;1935
2019;Luzern;671
2019;Uri;47
2019;Schwyz;307
2019;Obwalden;54
2019;Nidwalden;89
2019;Glarus;58
2019;Zug;244
2019;Freiburg;626
2019;Solothurn;486
2019;Basel-Stadt;394
2019;Basel-Landschaft;512
2019;Schaffhausen;163
2019;Appenzell A. Rh.;111
2019;Appenzell I. Rh.;16
2019;St. Gallen;976
2019;Graubünden;342
2019;Aargau;1391
2019;Thurgau;527
2019;Tessin;723
2019;Waadt;1708
2019;Wallis;711
2019;Neuenburg;392
2019;Genf;1132
2019;Jura;170
2020;Schweiz;16210
2020;Zürich;2823
2020;Bern;2015
2020;Luzern;723
2020;Uri;48
2020;Schwyz;314
2020;Obwalden;58
2020;Nidwalden;62
2020;Glarus;62
2020;Zug;218
2020;Freiburg;599
2020;Solothurn;496
2020;Basel-Stadt;378
2020;Basel-Landschaft;552
2020;Schaffhausen;151
2020;Appenzell A. Rh.;102
2020;Appenzell I. Rh.;32
2020;St. Gallen;927
2020;Graubünden;327
2020;Aargau;1205
2020;Thurgau;497
2020;Tessin;687
2020;Waadt;1590
2020;Wallis;704
2020;Neuenburg;375
2020;Genf;1086
2020;Jura;179
2021;Schweiz;17159
2021;Zürich;3053
2021;Bern;1962
2021;Luzern;740
2021;Uri;59
2021;Schwyz;312
2021;Obwalden;66
2021;Nidwalden;76
2021;Glarus;70
2021;Zug;223
2021;Freiburg;719
2021;Solothurn;545
2021;Basel-Stadt;358
2021;Basel-Landschaft;520
2021;Schaffhausen;159
2021;Appenzell A. Rh.;91
2021;Appenzell I. Rh.;28
2021;St. Gallen;921
2021;Graubünden;329
2021;Aargau;1482
2021;Thurgau;523
2021;Tessin;705
2021;Waadt;1624
2021;Wallis;710
2021;Neuenburg;435
2021;Genf;1272
2021;Jura;177